Gene	Essential	Non-essential	Unclear
ispU	TRUE	FALSE	FALSE
cdsA	TRUE	FALSE	FALSE
rseP	TRUE	FALSE	FALSE
bamA	TRUE	FALSE	FALSE
skp	FALSE	TRUE	FALSE
lpxD	TRUE	FALSE	FALSE
fabZ	TRUE	FALSE	FALSE
lpxA	TRUE	FALSE	FALSE
lpxB	TRUE	FALSE	FALSE
rnhB	FALSE	TRUE	FALSE
dnaE	TRUE	FALSE	FALSE
accA	TRUE	FALSE	FALSE
ldcC	FALSE	TRUE	FALSE
yaeR	FALSE	TRUE	FALSE
tilS	TRUE	FALSE	FALSE
rof	FALSE	TRUE	FALSE
yaeP	FALSE	TRUE	FALSE
yaeQ	FALSE	TRUE	FALSE
arfB	FALSE	TRUE	FALSE
nlpE	FALSE	TRUE	FALSE
yaeF	FALSE	TRUE	FALSE
proS	TRUE	FALSE	FALSE
tsaA	FALSE	TRUE	FALSE
rcsF	FALSE	TRUE	FALSE
metQ	FALSE	TRUE	FALSE
metI	FALSE	TRUE	FALSE
metN	FALSE	TRUE	FALSE
gmhB	FALSE	TRUE	FALSE
dkgB	FALSE	TRUE	FALSE
yafC	FALSE	TRUE	FALSE
yafD	FALSE	TRUE	FALSE
yafE	FALSE	TRUE	FALSE
mltD	FALSE	TRUE	FALSE
gloB	FALSE	TRUE	FALSE
yafS	FALSE	TRUE	FALSE
rnhA	FALSE	FALSE	TRUE
dnaQ	FALSE	FALSE	TRUE
yafT	FALSE	TRUE	FALSE
ykfM	TRUE	FALSE	FALSE
yafU	FALSE	TRUE	FALSE
yafF	FALSE	TRUE	FALSE
yafV	FALSE	TRUE	FALSE
ivy	FALSE	TRUE	FALSE
fadE	FALSE	TRUE	FALSE
gmhA	TRUE	FALSE	FALSE
yafJ	FALSE	TRUE	FALSE
yafK	FALSE	TRUE	FALSE
yafQ	FALSE	TRUE	FALSE
dinJ	FALSE	TRUE	FALSE
yafL	FALSE	TRUE	FALSE
rayT	FALSE	TRUE	FALSE
lfhA	FALSE	TRUE	FALSE
lafU	FALSE	TRUE	FALSE
dinB	FALSE	TRUE	FALSE
yafN	FALSE	TRUE	FALSE
yafO	FALSE	TRUE	FALSE
yafP	FALSE	TRUE	FALSE
ykfJ	FALSE	TRUE	FALSE
prfH	FALSE	TRUE	FALSE
pepD	FALSE	TRUE	FALSE
gpt	FALSE	TRUE	FALSE
frsA	FALSE	TRUE	FALSE
crl	FALSE	TRUE	FALSE
phoE	FALSE	TRUE	FALSE
proB	FALSE	TRUE	FALSE
proA	FALSE	TRUE	FALSE
ykfN	FALSE	TRUE	FALSE
ykfI	FALSE	TRUE	FALSE
yafW	FALSE	TRUE	FALSE
ykfH	FALSE	TRUE	FALSE
ykfG	FALSE	TRUE	FALSE
yafX	FALSE	TRUE	FALSE
ykfF	FALSE	TRUE	FALSE
ykfB	FALSE	TRUE	FALSE
yafY	FALSE	TRUE	FALSE
ykfL	FALSE	TRUE	FALSE
ykfK	FALSE	TRUE	FALSE
yafZ	FALSE	TRUE	FALSE
ykfA	FALSE	TRUE	FALSE
perR	FALSE	TRUE	FALSE
insN	FALSE	TRUE	FALSE
insI1	FALSE	TRUE	FALSE
ykfC	FALSE	TRUE	FALSE
insH1	FALSE	TRUE	FALSE
mmuP	FALSE	TRUE	FALSE
mmuM	FALSE	TRUE	FALSE
afuC	FALSE	TRUE	FALSE
afuB	FALSE	TRUE	FALSE
insB1	FALSE	TRUE	FALSE
insA	FALSE	TRUE	FALSE
insI1	FALSE	TRUE	FALSE
insX	FALSE	TRUE	FALSE
yagB	FALSE	TRUE	FALSE
yagA	FALSE	TRUE	FALSE
yagE	FALSE	TRUE	FALSE
yagF	FALSE	TRUE	FALSE
yagG	FALSE	TRUE	FALSE
yagH	FALSE	TRUE	FALSE
yagI	FALSE	TRUE	FALSE
argF	FALSE	TRUE	FALSE
ykgS	FALSE	TRUE	FALSE
insB1	FALSE	TRUE	FALSE
insA	FALSE	TRUE	FALSE
yagJ	FALSE	TRUE	FALSE
yagK	FALSE	TRUE	FALSE
yagL	FALSE	TRUE	FALSE
yagM	FALSE	TRUE	FALSE
yagN	FALSE	TRUE	FALSE
intF	FALSE	TRUE	FALSE
yagP	FALSE	TRUE	FALSE
ykgT	FALSE	TRUE	FALSE
paoD	FALSE	TRUE	FALSE
paoC	FALSE	TRUE	FALSE
paoB	FALSE	TRUE	FALSE
paoA	FALSE	TRUE	FALSE
yagU	FALSE	TRUE	FALSE
ykgJ	FALSE	TRUE	FALSE
ecpE	FALSE	TRUE	FALSE
ecpD	FALSE	TRUE	FALSE
ecpC	FALSE	TRUE	FALSE
ecpB	FALSE	TRUE	FALSE
ecpA	FALSE	TRUE	FALSE
ecpR	FALSE	TRUE	FALSE
ykgL	FALSE	TRUE	FALSE
ykgO	FALSE	TRUE	FALSE
ykgM	FALSE	TRUE	FALSE
ykgR	FALSE	TRUE	FALSE
ykgP	FALSE	TRUE	FALSE
eaeH	FALSE	TRUE	FALSE
insE1	FALSE	TRUE	FALSE
insF1	FALSE	TRUE	FALSE
ykgA	FALSE	TRUE	FALSE
ykgQ	FALSE	TRUE	FALSE
rclC	FALSE	TRUE	FALSE
rclB	FALSE	TRUE	FALSE
rclA	FALSE	TRUE	FALSE
rclR	FALSE	TRUE	FALSE
ykgE	FALSE	TRUE	FALSE
ykgF	FALSE	TRUE	FALSE
ykgG	FALSE	TRUE	FALSE
ykgH	FALSE	TRUE	FALSE
betA	FALSE	TRUE	FALSE
betB	FALSE	TRUE	FALSE
betI	FALSE	TRUE	FALSE
betT	FALSE	TRUE	FALSE
yahA	FALSE	TRUE	FALSE
yahB	FALSE	TRUE	FALSE
yahC	FALSE	TRUE	FALSE
yahD	FALSE	TRUE	FALSE
yahE	FALSE	TRUE	FALSE
yahF	FALSE	TRUE	FALSE
yahG	FALSE	TRUE	FALSE
yahI	FALSE	TRUE	FALSE
yahJ	FALSE	TRUE	FALSE
yahK	FALSE	TRUE	FALSE
yahL	FALSE	TRUE	FALSE
yahM	FALSE	TRUE	FALSE
yahN	FALSE	TRUE	FALSE
yahO	FALSE	TRUE	FALSE
prpR	FALSE	TRUE	FALSE
prpB	FALSE	TRUE	FALSE
prpC	FALSE	TRUE	FALSE
prpD	FALSE	TRUE	FALSE
prpE	FALSE	TRUE	FALSE
codB	FALSE	TRUE	FALSE
codA	FALSE	TRUE	FALSE
cynR	FALSE	TRUE	FALSE
cynT	FALSE	TRUE	FALSE
cynS	FALSE	TRUE	FALSE
cynX	FALSE	TRUE	FALSE
lacA	FALSE	TRUE	FALSE
lacY	FALSE	TRUE	FALSE
lacZ	FALSE	TRUE	FALSE
lacI	FALSE	TRUE	FALSE
mhpR	FALSE	TRUE	FALSE
mhpA	FALSE	TRUE	FALSE
mhpB	FALSE	TRUE	FALSE
mhpC	FALSE	TRUE	FALSE
mhpD	FALSE	TRUE	FALSE
mhpF	FALSE	TRUE	FALSE
mhpE	FALSE	TRUE	FALSE
mhpT	FALSE	TRUE	FALSE
yaiL	FALSE	TRUE	FALSE
frmB	FALSE	TRUE	FALSE
frmA	FALSE	TRUE	FALSE
frmR	FALSE	TRUE	FALSE
yaiO	FALSE	TRUE	FALSE
yaiX	FALSE	TRUE	FALSE
insC1	FALSE	TRUE	FALSE
insD1	FALSE	TRUE	FALSE
yaiP	FALSE	TRUE	FALSE
yaiS	FALSE	TRUE	FALSE
tauA	FALSE	TRUE	FALSE
tauB	FALSE	TRUE	FALSE
tauC	FALSE	TRUE	FALSE
tauD	FALSE	TRUE	FALSE
hemB	TRUE	FALSE	FALSE
yaiT	FALSE	TRUE	FALSE
insF1	FALSE	TRUE	FALSE
insE1	FALSE	TRUE	FALSE
yaiV	FALSE	TRUE	FALSE
ampH	FALSE	TRUE	FALSE
sbmA	FALSE	TRUE	FALSE
yaiW	FALSE	TRUE	FALSE
yaiY	FALSE	TRUE	FALSE
yaiZ	FALSE	TRUE	FALSE
ddlA	FALSE	TRUE	FALSE
iraP	FALSE	TRUE	FALSE
phoA	FALSE	TRUE	FALSE
psiF	FALSE	TRUE	FALSE
yaiC	FALSE	TRUE	FALSE
proC	FALSE	TRUE	FALSE
yaiI	FALSE	TRUE	FALSE
aroL	FALSE	TRUE	FALSE
yaiA	FALSE	TRUE	FALSE
aroM	FALSE	TRUE	FALSE
yaiE	FALSE	TRUE	FALSE
ykiA	FALSE	TRUE	FALSE
rdgC	FALSE	TRUE	FALSE
mak	FALSE	TRUE	FALSE
araJ	FALSE	TRUE	FALSE
sbcC	FALSE	TRUE	FALSE
sbcD	FALSE	TRUE	FALSE
phoB	FALSE	TRUE	FALSE
phoR	FALSE	TRUE	FALSE
brnQ	FALSE	TRUE	FALSE
proY	FALSE	TRUE	FALSE
malZ	FALSE	TRUE	FALSE
acpH	FALSE	TRUE	FALSE
queA	FALSE	TRUE	FALSE
tgt	FALSE	TRUE	FALSE
yajC	FALSE	TRUE	FALSE
secD	TRUE	FALSE	FALSE
secF	FALSE	FALSE	TRUE
yajD	FALSE	TRUE	FALSE
tsx	FALSE	TRUE	FALSE
yajI	FALSE	TRUE	FALSE
nrdR	FALSE	FALSE	TRUE
ribD	TRUE	FALSE	FALSE
ribE	TRUE	FALSE	FALSE
nusB	TRUE	FALSE	FALSE
thiL	TRUE	FALSE	FALSE
pgpA	FALSE	TRUE	FALSE
yajO	FALSE	TRUE	FALSE
dxs	TRUE	FALSE	FALSE
ispA	TRUE	FALSE	FALSE
xseB	FALSE	TRUE	FALSE
thiI	FALSE	TRUE	FALSE
yajL	FALSE	TRUE	FALSE
panE	FALSE	TRUE	FALSE
yajQ	FALSE	TRUE	FALSE
yajR	FALSE	TRUE	FALSE
cyoE	FALSE	TRUE	FALSE
cyoD	FALSE	TRUE	FALSE
cyoC	FALSE	TRUE	FALSE
cyoB	FALSE	TRUE	FALSE
cyoA	FALSE	TRUE	FALSE
ampG	FALSE	TRUE	FALSE
yajG	FALSE	TRUE	FALSE
bolA	FALSE	TRUE	FALSE
tig	FALSE	TRUE	FALSE
clpP	FALSE	TRUE	FALSE
clpX	FALSE	TRUE	FALSE
lon	FALSE	TRUE	FALSE
hupB	FALSE	TRUE	FALSE
ppiD	FALSE	TRUE	FALSE
ybaV	FALSE	TRUE	FALSE
fadM	FALSE	TRUE	FALSE
queC	FALSE	TRUE	FALSE
ybaE	FALSE	TRUE	FALSE
cof	FALSE	TRUE	FALSE
ybaO	FALSE	TRUE	FALSE
mdlA	FALSE	TRUE	FALSE
mdlB	FALSE	TRUE	FALSE
glnK	FALSE	TRUE	FALSE
amtB	FALSE	TRUE	FALSE
tesB	FALSE	TRUE	FALSE
ybaY	FALSE	TRUE	FALSE
ybaZ	FALSE	TRUE	FALSE
ybaA	FALSE	TRUE	FALSE
ylaB	FALSE	TRUE	FALSE
ylaC	FALSE	TRUE	FALSE
maa	FALSE	TRUE	FALSE
hha	FALSE	TRUE	FALSE
tomB	FALSE	TRUE	FALSE
acrB	FALSE	TRUE	FALSE
acrA	FALSE	TRUE	FALSE
acrR	FALSE	TRUE	FALSE
mscK	FALSE	TRUE	FALSE
ybaM	FALSE	TRUE	FALSE
priC	FALSE	TRUE	FALSE
ybaN	FALSE	TRUE	FALSE
apt	FALSE	TRUE	FALSE
dnaX	TRUE	FALSE	FALSE
ybaB	FALSE	TRUE	FALSE
recR	FALSE	TRUE	FALSE
htpG	FALSE	TRUE	FALSE
